Student ID	Cumulative GPA	Total Course Credits	           Course-1 Credits	Course-1 Score	           Course-2 Credits	Course-2 Score	           Course-3 Credits	Course-3 Score	           Course-4 Credits	Course-4 Score
47323079	2.94	88	4	3.0	2	1.0	3	4.0	3	1.0
60878302	1.88	69	4	4.0	2	3.0	4	2.0	3	3.0
57629871	3.85	89	4	1.0	3	4.0	2	4.0	4	1.0
20357548	3.16	59	4	2.0	3	4.0	4	3.0	4	4.0
66432679	2.41	59	3	2.0	3	2.0	3	1.0	4	3.0
30097743	3.10	69	4	4.0	4	1.0	2	1.0	4	2.0
67675901	2.30	24	3	1.0	4	3.0	2	3.0	4	3.0
53378565	2.85	32	4	2.0	2	2.0	3	1.0	2	2.0
53153454	2.93	19	2	3.0	3	3.0	4	1.0	3	3.0
14636356	3.29	54	3	3.0	2	4.0	3	4.0	4	2.0
10447901	3.54	18	4	4.0	3	3.0	3	3.0	2	3.0
37300211	3.15	60	4	2.0	4	1.0	3	1.0	4	3.0
28774881	3.32	83	3	3.0	2	3.0	3	2.0	4	1.0
23919067	3.92	58	2	2.0	3	2.0	2	1.0	4	2.0
36607333	3.44	78	3	3.0	2	2.0	2	3.0	4	3.0
40088266	3.45	53	2	2.0	2	4.0	3	3.0	4	1.0
91068715	3.41	23	3	4.0	4	1.0	2	4.0	3	4.0
18849643	2.17	51	4	3.0	2	4.0	2	2.0	3	4.0
74247163	2.93	38	3	2.0	3	2.0	3	4.0	3	2.0
76788127	3.00	29	2	3.0	2	3.0	2	1.0	4	4.0
24462882	3.30	38	3	4.0	4	2.0	3	1.0	3	1.0
96507163	2.50	79	3	2.0	4	2.0	3	4.0	2	2.0
74843934	3.11	90	3	3.0	3	3.0	3	1.0	3	3.0
56654140	2.59	46	2	4.0	3	1.0	2	2.0	2	4.0
80176338	3.99	44	3	2.0	4	1.0	4	4.0	2	2.0
14440121	2.85	65	2	3.0	4	4.0	3	4.0	4	3.0
25433924	2.95	16	4	2.0	2	1.0	2	1.0	3	2.0
57198316	2.09	17	3	3.0	3	2.0	2	1.0	4	4.0
23708107	2.83	47	4	4.0	3	3.0	4	2.0	3	2.0
18432917	1.88	29	2	4.0	3	4.0	2	1.0	3	3.0
45525215	2.34	42	2	4.0	4	2.0	2	4.0	3	4.0
47983713	3.75	37	2	4.0	2	4.0	2	3.0	2	3.0
64915778	3.28	85	2	3.0	3	4.0	4	1.0	2	3.0
29958952	2.55	83	2	3.0	4	3.0	3	2.0	3	2.0
41263759	2.43	88	4	1.0	3	2.0	3	1.0	3	3.0
48883785	3.60	56	2	2.0	2	1.0	2	4.0	4	3.0
59268972	3.05	56	2	2.0	3	2.0	4	1.0	3	1.0
40866367	2.24	35	4	4.0	2	2.0	2	4.0	3	1.0
27981654	2.82	31	3	1.0	4	3.0	3	3.0	3	3.0
19725990	2.12	86	3	4.0	4	2.0	2	3.0	2	2.0
66120176	3.51	26	2	4.0	2	4.0	4	1.0	2	1.0
17174562	3.33	89	2	3.0	3	1.0	3	4.0	2	2.0
67775199	1.97	24	4	1.0	2	2.0	4	4.0	3	2.0
47615937	1.95	19	2	4.0	3	3.0	4	1.0	3	4.0
72657390	3.48	37	2	3.0	2	4.0	4	1.0	4	4.0
60043084	3.49	83	2	3.0	3	3.0	4	3.0	4	2.0
12833917	2.13	85	4	2.0	4	2.0	3	2.0	2	4.0
15539892	2.00	87	4	4.0	3	4.0	2	3.0	4	4.0
38810819	2.61	89	3	3.0	4	4.0	4	3.0	3	1.0
65195720	2.21	65	3	4.0	2	3.0	2	1.0	3	2.0
57089519	3.66	64	4	4.0	3	4.0	4	2.0	3	1.0
21973246	3.57	69	2	2.0	2	4.0	2	2.0	3	1.0
61036258	2.08	37	2	1.0	4	2.0	2	3.0	3	1.0
88182954	2.20	26	3	3.0	2	2.0	2	2.0	2	3.0
94100350	2.94	73	4	3.0	4	3.0	4	2.0	4	1.0
55206529	2.92	71	2	1.0	2	4.0	4	2.0	2	1.0
19893403	2.65	48	4	4.0	3	1.0	4	4.0	2	4.0
20843276	1.81	55	2	4.0	3	2.0	3	3.0	2	3.0
97623005	2.58	48	2	4.0	2	1.0	3	3.0	3	1.0
91991146	3.13	51	4	3.0	3	1.0	2	4.0	2	3.0
89887987	2.53	60	3	2.0	3	3.0	4	3.0	3	1.0
11709429	1.88	25	3	1.0	4	4.0	3	1.0	2	2.0
49927172	1.98	88	4	3.0	2	3.0	3	2.0	3	1.0
81647947	2.21	70	2	4.0	4	2.0	4	1.0	4	4.0
98672650	3.25	53	4	2.0	4	1.0	3	2.0	2	2.0
66646708	2.95	86	4	3.0	4	1.0	4	3.0	2	3.0
43450649	2.51	48	3	4.0	3	2.0	2	4.0	4	4.0
14383291	3.47	90	4	4.0	3	1.0	2	2.0	2	1.0
58396350	3.14	74	4	3.0	2	1.0	2	4.0	3	3.0
77328991	3.50	28	2	2.0	2	4.0	4	3.0	2	3.0
49603036	3.73	60	3	3.0	4	3.0	4	4.0	2	4.0
25247672	3.65	59	2	3.0	3	1.0	2	3.0	4	2.0
31247134	2.50	49	2	3.0	3	1.0	4	1.0	2	1.0
56086326	3.62	54	4	2.0	3	2.0	4	1.0	3	1.0
97142403	3.65	15	3	1.0	2	1.0	4	3.0	2	1.0
89412905	2.07	69	4	2.0	3	2.0	3	1.0	2	1.0
30845099	2.32	79	3	2.0	2	3.0	3	2.0	4	2.0
37790545	1.87	77	2	2.0	4	2.0	2	3.0	2	1.0
81936882	3.38	59	2	4.0	2	3.0	4	2.0	3	3.0
62221837	1.95	37	3	4.0	3	1.0	3	2.0	3	3.0
16660672	3.87	49	3	2.0	4	4.0	2	1.0	2	3.0
15938418	3.16	21	2	4.0	2	1.0	2	4.0	4	1.0
98093388	3.81	58	2	2.0	2	2.0	4	4.0	3	4.0
79362934	3.70	26	2	4.0	2	2.0	3	4.0	2	3.0
17728758	2.90	19	4	3.0	3	2.0	4	1.0	2	4.0
65893964	3.73	89	2	3.0	3	1.0	2	1.0	4	2.0
85962917	3.83	22	2	3.0	3	3.0	3	4.0	2	4.0
70791456	3.84	71	3	1.0	2	3.0	2	1.0	2	3.0
20552612	2.85	38	4	4.0	4	4.0	3	2.0	4	3.0
99025240	3.46	39	3	1.0	3	2.0	3	1.0	2	3.0
11263065	3.83	76	2	4.0	2	4.0	4	3.0	4	3.0
20765507	3.91	80	2	1.0	3	1.0	4	2.0	3	3.0
62101468	3.13	35	4	3.0	2	4.0	3	2.0	3	3.0
26139295	2.76	85	2	4.0	2	3.0	2	4.0	2	2.0
86642437	2.24	75	3	1.0	3	4.0	2	4.0	4	3.0
38982900	3.49	25	4	4.0	3	3.0	4	2.0	4	3.0
49894008	3.31	38	3	4.0	2	2.0	4	3.0	3	2.0
50499923	3.37	25	4	1.0	4	1.0	4	3.0	3	3.0
51436987	2.45	32	2	1.0	3	3.0	2	2.0	4	1.0
67298824	3.78	77	4	3.0	3	2.0	4	2.0	2	3.0
78254057	1.92	51	2	4.0	3	4.0	3	1.0	3	4.0
48639775	2.81	44	2	3.0	3	2.0	3	3.0	3	2.0
76982314	3.86	56	4	2.0	4	2.0	4	3.0	2	3.0
72960884	3.39	78	2	2.0	2	4.0	3	3.0	3	3.0
48911751	1.85	90	4	1.0	2	1.0	4	1.0	3	3.0
51502288	3.09	45	3	3.0	2	2.0	2	1.0	4	1.0
56813910	2.52	49	2	2.0	2	4.0	2	1.0	3	4.0
27253210	1.87	44	4	2.0	4	2.0	2	3.0	4	2.0
78714795	2.84	38	2	3.0	2	2.0	2	2.0	4	4.0
71457607	2.21	85	4	4.0	3	4.0	3	4.0	4	3.0
71000021	3.16	31	2	4.0	4	4.0	3	4.0	4	2.0
33168580	2.86	41	3	4.0	2	1.0	2	2.0	2	4.0
23067559	3.31	18	3	4.0	3	4.0	2	4.0	2	1.0
25994237	3.66	51	4	3.0	4	3.0	2	3.0	2	4.0
68949489	2.05	71	3	4.0	4	3.0	4	1.0	2	2.0
38305643	3.30	86	2	3.0	3	2.0	2	1.0	3	3.0
35986099	3.00	44	2	1.0	2	2.0	2	1.0	4	4.0
52728410	3.72	45	2	3.0	3	3.0	2	1.0	2	1.0
57435584	2.11	55	3	2.0	4	4.0	2	4.0	3	2.0
95803127	2.53	31	4	3.0	2	2.0	3	3.0	2	1.0
20110667	2.17	28	3	3.0	4	3.0	2	3.0	2	2.0
59950457	2.36	68	3	1.0	3	3.0	3	2.0	2	2.0
17465858	2.35	85	4	2.0	3	2.0	3	3.0	3	2.0
86978566	3.58	54	2	4.0	4	1.0	3	1.0	2	2.0
88208491	2.93	21	2	4.0	4	2.0	3	4.0	4	4.0
93906168	2.72	73	3	4.0	3	1.0	2	1.0	4	4.0
58115180	2.27	28	2	1.0	3	3.0	3	2.0	3	3.0
88308311	2.52	85	4	1.0	3	1.0	3	1.0	3	1.0
60971391	2.81	31	3	3.0	2	3.0	2	4.0	4	2.0
21207267	3.60	78	2	1.0	4	1.0	2	2.0	2	1.0
11503966	3.15	29	3	1.0	4	4.0	4	1.0	2	3.0
35069422	2.45	86	2	3.0	3	4.0	3	4.0	4	4.0
81891987	3.31	28	3	1.0	3	2.0	4	2.0	4	4.0
75146844	2.36	18	4	1.0	4	1.0	3	4.0	2	1.0
82123322	2.56	65	4	4.0	4	1.0	4	3.0	2	4.0
70387063	3.92	77	3	2.0	2	3.0	3	4.0	2	4.0
61407095	3.22	49	3	4.0	4	4.0	4	2.0	4	4.0
92051521	3.17	54	2	3.0	3	3.0	4	1.0	2	4.0
36403307	3.52	19	3	3.0	4	3.0	4	2.0	4	3.0
89501551	1.93	73	2	4.0	4	4.0	4	2.0	2	2.0
52245204	3.30	76	2	4.0	3	2.0	3	3.0	4	4.0
28789685	2.45	36	2	1.0	3	2.0	2	3.0	4	1.0
14788437	3.80	77	2	2.0	2	1.0	3	2.0	4	4.0
59539792	2.02	53	3	3.0	2	2.0	3	2.0	2	1.0
71084768	3.43	67	4	3.0	3	3.0	4	4.0	3	4.0
70824992	3.42	85	4	1.0	4	1.0	4	2.0	3	2.0
82106663	3.24	49	2	1.0	3	1.0	2	4.0	4	2.0
60616558	3.62	86	4	2.0	4	4.0	3	2.0	2	2.0
35216897	3.90	59	3	3.0	3	2.0	4	4.0	2	2.0
96462877	2.02	77	3	4.0	4	4.0	4	2.0	4	4.0
78831819	3.00	50	3	2.0	2	2.0	3	2.0	3	3.0
31170385	2.46	19	3	1.0	2	4.0	4	2.0	2	4.0
73970496	3.90	17	3	1.0	3	4.0	3	4.0	4	1.0
85981594	3.52	83	4	1.0	3	1.0	3	3.0	3	3.0
33371226	3.00	76	2	2.0	3	1.0	4	1.0	2	2.0
37873509	2.28	80	2	3.0	2	1.0	2	2.0	4	1.0
87858553	2.25	30	4	1.0	3	2.0	4	2.0	4	1.0
11936633	3.03	68	3	1.0	3	1.0	2	3.0	4	4.0
78867879	3.73	64	2	3.0	4	2.0	4	1.0	3	4.0
50299660	3.73	89	3	4.0	3	3.0	3	3.0	3	2.0
66536945	3.64	81	4	1.0	2	4.0	2	4.0	3	2.0
52121653	2.38	77	4	4.0	2	1.0	4	2.0	3	4.0
35128577	2.08	68	2	4.0	3	3.0	2	1.0	2	3.0
68298260	2.71	72	4	4.0	3	1.0	3	2.0	2	1.0
35015364	2.45	19	2	2.0	4	2.0	4	4.0	2	4.0
98249020	2.68	17	2	2.0	4	2.0	4	1.0	2	2.0
24542198	1.89	50	4	4.0	4	4.0	2	1.0	3	3.0
80347071	2.57	48	4	1.0	4	2.0	2	2.0	2	2.0
61243674	3.37	34	4	4.0	2	4.0	3	4.0	3	1.0
27503219	2.24	62	4	2.0	4	3.0	2	4.0	4	2.0
91278457	2.12	19	4	4.0	2	3.0	4	3.0	2	1.0
39722468	2.01	52	4	2.0	3	3.0	3	3.0	4	2.0
94887931	2.13	89	2	3.0	4	1.0	4	4.0	2	2.0
48342933	2.21	32	4	2.0	4	4.0	2	1.0	4	1.0
28246289	3.93	75	4	3.0	3	2.0	3	1.0	3	4.0
95775629	3.62	79	3	3.0	2	4.0	4	2.0	2	2.0
71327084	3.16	23	2	1.0	2	3.0	2	1.0	2	2.0
71870822	2.29	69	3	2.0	2	1.0	2	1.0	2	1.0
94808557	2.64	70	4	1.0	4	1.0	4	4.0	4	4.0
62429531	2.95	41	4	2.0	2	4.0	4	1.0	4	4.0
61194539	2.73	33	4	2.0	2	2.0	3	2.0	3	2.0
82290517	2.41	52	3	1.0	4	1.0	3	2.0	4	4.0
25055883	2.17	26	4	2.0	3	3.0	2	1.0	3	2.0
10109133	3.19	87	2	1.0	2	2.0	3	2.0	3	1.0
57785482	3.34	70	2	1.0	4	2.0	2	2.0	2	4.0
77679666	2.25	69	2	1.0	4	3.0	3	1.0	4	3.0
99382244	3.70	32	2	2.0	2	2.0	3	3.0	4	4.0
32952938	3.62	41	4	4.0	2	1.0	2	2.0	3	1.0
59404909	3.79	61	4	2.0	2	1.0	3	1.0	4	4.0
64829760	2.52	46	4	3.0	2	1.0	3	1.0	4	1.0
56181575	3.06	47	3	2.0	3	1.0	4	4.0	4	1.0
68662841	2.16	16	4	4.0	4	1.0	2	3.0	3	2.0
99967087	3.96	17	2	1.0	4	2.0	2	3.0	4	1.0
37823646	3.57	61	2	4.0	3	1.0	3	1.0	2	3.0
93931071	2.65	60	3	2.0	2	2.0	2	4.0	2	4.0
65120302	2.12	41	2	2.0	2	2.0	3	2.0	4	1.0
17627322	2.46	38	4	1.0	4	2.0	3	4.0	3	4.0
56316959	2.99	44	3	4.0	3	3.0	3	1.0	3	4.0
68209739	3.99	30	3	4.0	3	1.0	4	4.0	3	3.0
78535467	2.30	32	3	3.0	2	3.0	3	3.0	3	2.0
19385779	3.60	31	3	3.0	2	4.0	2	3.0	4	2.0
15034604	3.10	81	3	2.0	3	4.0	2	3.0	2	4.0
77248732	3.87	59	3	3.0	3	2.0	2	3.0	2	4.0
50105114	3.45	74	2	4.0	3	3.0	4	1.0	4	4.0
40865604	1.96	53	2	3.0	4	4.0	2	2.0	3	3.0
89702297	3.20	62	4	3.0	2	1.0	3	1.0	4	2.0
63175958	2.08	84	2	4.0	3	2.0	4	3.0	3	3.0
66668904	2.01	38	3	3.0	3	3.0	2	3.0	4	4.0
80857792	1.82	84	3	4.0	4	1.0	4	3.0	2	3.0
75594030	3.09	74	2	3.0	3	4.0	4	3.0	4	2.0
51537355	2.93	76	3	4.0	2	4.0	3	1.0	2	3.0
45358080	3.27	51	2	4.0	4	1.0	4	3.0	4	3.0
96236431	1.83	53	3	4.0	4	3.0	4	4.0	3	2.0
30018046	3.89	90	2	4.0	3	2.0	2	4.0	3	3.0
10605918	3.06	42	2	1.0	3	1.0	2	4.0	4	2.0
86696009	3.65	17	3	4.0	4	2.0	4	3.0	3	4.0
37465178	2.45	87	2	3.0	2	3.0	3	3.0	4	3.0
60516953	3.21	73	2	3.0	4	2.0	3	4.0	2	3.0
76627779	2.47	16	3	4.0	2	1.0	4	4.0	2	3.0
31526134	2.58	83	4	1.0	4	1.0	3	3.0	2	3.0
29912080	2.94	68	2	2.0	2	3.0	3	2.0	3	3.0
97657480	3.08	56	2	4.0	2	1.0	2	4.0	4	2.0
18406524	3.19	80	3	4.0	2	2.0	2	4.0	4	4.0
15702609	2.35	72	2	4.0	2	4.0	4	4.0	3	4.0
82081140	2.95	58	4	4.0	4	3.0	2	3.0	4	4.0
52246756	3.00	68	4	1.0	4	1.0	2	4.0	2	3.0
33832680	3.58	75	3	3.0	3	4.0	3	2.0	2	3.0
89486642	1.99	17	4	1.0	2	2.0	3	1.0	3	4.0
92791819	3.22	58	4	2.0	3	2.0	4	3.0	4	4.0
64043093	3.15	55	2	4.0	4	2.0	4	4.0	3	1.0
50033638	2.66	75	2	1.0	3	2.0	4	2.0	3	3.0
22151065	3.89	16	2	3.0	3	4.0	4	3.0	4	3.0
63390285	3.40	90	2	3.0	4	4.0	2	4.0	3	3.0
54829047	1.99	26	3	1.0	3	2.0	4	2.0	2	1.0
16290637	2.85	68	4	1.0	2	4.0	4	1.0	4	2.0
42880794	3.50	69	3	4.0	4	2.0	3	2.0	4	3.0
71485239	2.33	77	3	3.0	2	1.0	2	3.0	4	4.0
39532243	3.82	40	3	1.0	4	3.0	3	3.0	4	4.0
26488746	3.83	25	3	2.0	4	2.0	2	3.0	3	4.0
26344635	1.83	40	4	2.0	4	1.0	2	2.0	4	4.0
18147767	1.82	52	2	2.0	3	2.0	3	4.0	4	1.0
40886673	3.04	89	4	4.0	3	1.0	4	3.0	4	3.0
51855328	2.47	88	3	4.0	4	3.0	2	4.0	2	3.0
69457079	3.32	20	3	4.0	3	1.0	3	1.0	2	4.0
89018450	2.59	29	3	1.0	4	2.0	3	2.0	2	1.0
