Student ID    Earned Credits
==========    ==============
47323079           98
60878302           80
57629871           99
20357548           71
66432679           69
30097743           79
67675901           33
53378565           41
53153454           28
14636356           64
10447901           27
37300211           71
28774881           93
23919067           66
36607333           87
40088266           62
91068715           31
18849643           60
74247163           47
76788127           37
24462882           47
96507163           87
74843934           99
56654140           52
80176338           53
14440121           74
25433924           25
57198316           26
23708107           58
18432917           36
45525215           49
47983713           43
64915778           93
29958952           91
41263759           98
48883785           64
59268972           65
40866367           44
27981654           40
19725990           93
66120176           34
17174562           96
67775199           35
47615937           28
72657390           47
60043084           93
12833917           94
15539892           97
38810819           99
65195720           73
57089519           75
21973246           76
61036258           44
88182954           33
94100350           85
55206529           79
19893403           58
20843276           62
97623005           56
91991146           59
89887987           70
11709429           33
49927172           98
81647947           80
98672650           62
66646708           96
43450649           57
14383291           98
58396350           83
77328991           36
49603036           69
25247672           67
31247134           57
56086326           65
97142403           24
89412905           78
30845099           89
37790545           83
81936882           68
62221837           46
16660672           56
15938418           29
98093388           67
79362934           33
17728758           29
65893964           97
85962917           29
70791456           78
20552612           49
99025240           47
11263065           86
20765507           89
62101468           45
26139295           91
86642437           84
38982900           37
49894008           48
50499923           36
51436987           40
67298824           87
78254057           59
48639775           52
76982314           66
72960884           86
48911751           101
51502288           54
56813910           56
27253210           54
78714795           46
71457607           96
71000021           40
33168580           48
23067559           25
25994237           59
68949489           80
38305643           93
35986099           52
52728410           51
57435584           63
95803127           40
20110667           35
59950457           76
17465858           95
86978566           61
88208491           30
93906168           82
58115180           36
88308311           95
60971391           40
21207267           84
11503966           38
35069422           95
81891987           39
75146844           27
82123322           75
70387063           85
61407095           60
92051521           62
36403307           30
89501551           81
52245204           85
28789685           44
14788437           86
59539792           61
71084768           78
70824992           96
82106663           57
60616558           95
35216897           68
96462877           88
78831819           59
31170385           28
73970496           27
85981594           93
33371226           84
37873509           88
87858553           42
11936633           77
78867879           73
50299660           98
66536945           90
52121653           88
35128577           74
68298260           81
35015364           27
98249020           25
24542198           59
80347071           56
61243674           44
27503219           72
91278457           29
39722468           63
94887931           97
48342933           42
28246289           85
95775629           88
71327084           29
71870822           76
94808557           82
62429531           53
61194539           43
82290517           62
25055883           35
10109133           95
57785482           76
77679666           78
99382244           41
32952938           50
59404909           72
64829760           57
56181575           58
68662841           25
99967087           25
37823646           68
93931071           67
65120302           50
17627322           48
56316959           53
68209739           40
78535467           41
19385779           40
15034604           88
77248732           66
50105114           84
40865604           60
89702297           73
63175958           93
66668904           47
80857792           93
75594030           84
51537355           84
45358080           61
96236431           63
30018046           97
10605918           50
86696009           27
37465178           96
60516953           80
76627779           25
31526134           92
29912080           76
97657480           64
18406524           89
15702609           81
82081140           68
52246756           76
33832680           83
89486642           27
92791819           70
64043093           64
50033638           84
22151065           26
63390285           97
54829047           35
16290637           80
42880794           79
71485239           86
39532243           50
26488746           33
26344635           50
18147767           61
40886673           101
51855328           95
69457079           28
89018450           37
23196200           94
38615280           52
14150747           37
38873811           80
48620992           51
17460767           40
80913565           49
78189114           46
35979666           37
20399476           65
63012876           88
41731751           92
19078712           76
85988334           33
45504239           22
84156756           55
79714052           82
69892454           99
71876616           61
69914495           58
30771652           73
83781646           63
17852297           60
86306822           43
93187871           81
74102387           68
53713043           57
14976462           90
78118672           28
53649670           53
60094509           88
94189510           42
43653764           64
77758404           23
23690539           25
57402532           34
99095888           59
81453485           92
66493599           88
10567159           59
85113284           44
68940801           78
53705997           26
75690942           83
76471488           36
86362878           98
27668425           29
14468023           65
34179426           84
81297045           62
82779600           44
94234108           59
10145500           75
10226867           91
53441861           31
53859161           77
43579889           22
87314260           33
95160232           65
42122087           39
97344374           78
68542761           38
35959049           71
81776216           39
58546247           67
44056530           91
18704320           35
16731312           70
66019900           32
75818938           27
46047317           52
28895621           26
69555236           36
92274602           30
87332098           88
89594846           46
34128306           48
14685702           43
65244586           45
12382077           48
68536564           36
74354442           42
45295532           29
13779328           36
21515463           33
28169948           94
30408309           46
19362306           50
24351284           55
73162544           36
52855962           37
89635943           45
65552380           40
32592582           90
79659947           31
46667382           26
36675823           79
67242152           42
47341255           43
97645191           39
96826346           95
11010396           65
54737647           90
42312134           30
42560690           47
96854355           56
23705650           58
24546672           47
66114108           63
58307413           31
66093316           29
63807807           33
71463014           77
81347472           60
90208122           93
93669597           45
15766132           89
11730063           67
10320907           86
73990111           49
51983255           52
31706731           31
36614985           44
85639896           85
41864595           55
62132826           57
63305554           73
52383908           64
73028566           30
90302966           28
41658676           51
20257366           50
43032504           32
85949035           101
72665211           37
59487165           96
12616870           65
44050682           73
20833642           63
83782364           75
21807966           31
44285377           29
84303372           36
41374891           92
52920579           96
47644552           88
49474618           80
49824639           54
25629169           71
35369047           78
53267854           69
51194661           25
12152805           87
12187593           42
85099454           74
14272318           34
