X	Y
84.96	283.33
93.26	306.62
70.45	230.04
76.27	257.03
59.92	202.67
54.05	178.49
39.67	147.28
40.56	139.64
38.89	140.31
72.30	234.94
91.21	293.86
56.91	190.32
84.28	282.05
82.72	264.42
81.39	270.08
74.68	239.27
91.47	293.62
76.99	249.88
93.03	303.64
81.36	267.62
46.08	165.31
79.13	262.23
86.41	276.05
98.79	311.68
38.73	143.87
85.65	281.84
56.77	193.50
68.36	234.11
62.71	206.66
44.90	150.41
77.61	255.02
59.77	208.55
66.07	225.67
78.17	256.75
71.76	237.88
54.95	187.00
66.18	226.04
81.00	259.59
87.98	282.50
68.75	221.77
80.18	258.07
81.43	272.84
97.77	311.04
54.06	184.55
48.36	169.75
79.99	263.38
88.24	293.38
40.66	137.96
96.23	306.91
83.10	267.34
56.48	191.65
77.31	251.75
71.45	232.85
78.05	259.41
70.88	229.40
39.08	136.46
54.52	193.00
92.45	303.24
33.41	122.15
88.51	292.39
30.60	107.37
70.08	234.92
41.37	153.64
91.59	301.16
42.04	141.31
49.27	176.20
75.48	243.93
30.76	108.09
53.20	184.15
40.15	136.92
82.27	267.43
93.49	299.24
37.18	132.21
45.58	152.10
56.77	187.44
52.03	182.45
81.14	261.41
56.10	183.88
37.75	131.59
89.76	294.79
39.51	133.85
67.09	228.46
64.50	215.21
38.69	133.19
66.06	216.73
43.41	147.16
98.20	314.39
98.58	316.96
81.47	266.82
42.89	148.98
98.96	324.57
68.60	233.37
63.98	211.19
57.81	192.63
47.62	158.14
44.19	156.25
93.23	300.48
35.80	131.01
59.63	205.26
54.68	187.92
84.54	270.77
42.04	152.16
40.84	145.00
39.75	144.21
63.78	211.43
58.90	198.68
66.42	220.18
71.52	241.47
44.47	157.05
56.05	192.29
34.04	131.63
39.34	144.59
88.90	291.29
97.08	312.03
80.45	265.61
70.18	228.06
98.47	310.84
92.70	294.96
43.63	152.06
91.01	288.61
40.73	149.05
89.61	291.58
44.82	161.39
82.29	275.32
57.77	201.25
58.64	203.28
45.95	155.97
82.25	272.06
41.42	142.21
31.84	124.91
86.80	278.18
82.16	270.24
79.90	264.78
51.63	175.47
59.87	205.25
89.99	293.62
92.79	306.58
81.51	263.21
30.72	107.53
88.91	282.21
44.78	159.82
74.28	238.82
33.39	127.19
78.92	261.99
48.70	170.15
41.35	141.87
90.66	295.36
94.36	305.70
51.57	175.97
54.86	180.65
51.76	173.70
70.93	238.12
97.55	309.36
37.54	138.45
65.67	212.94
89.96	297.95
84.96	276.94
47.69	172.32
43.11	144.66
70.78	228.97
85.15	281.28
55.01	188.03
91.23	292.57
80.48	264.02
80.08	261.65
69.40	238.01
39.54	137.44
